Alessandro;Ferretti;0011223366;alessandro.ferretti@studio.unibo.it;0810f5c2f61c9e6d953162b5940241df46d9242808de82d3a9e0fabbb3e501b1;Studente di Digital Transformation Management;05/11/2002;Digital Transformation Management;
Andrea;Testa;0011224444;andrea.testa@studio.unibo.it;b88613457b0dcda711990a3575b163fd968bdc51f5cc152bc1d085f89f901328;Studente di Scienze e cultura della gastronomia;17/08/2003;Scienze e cultura della gastronomia;
Beatrice;Marchetti;0011224499;beatrice.marchetti@studio.unibo.it;906232b2fdf2ae4fb38c9e5b4ba21bc5e35755086dccc66d5273aba92e757651;Studentessa di Work, Organizational and Personnel Psychology;04/02/2003;Work, Organizational and Personnel Psychology;
Chiara;Villani;0011224411;chiara.villani@studio.unibo.it;d2da7cc701fc0f60cc12b6f570e104285e74249109b92cc132ef486c0c453d8e;Studentessa di Neuroscienze e riabilitazione neuropsicologica;30/06/2003;Neuroscienze e riabilitazione neuropsicologica;
Davide;Costa;0011224400;davide.costa@studio.unibo.it;3bc645c73c38c084201afe13f5bff48bd4d27d9e6efe2d1adc4d1908cce69728;Studente di Ingegneria elettronica per l'intelligenza artificiale;12/01/2001;Ingegneria elettronica per l'intelligenza artificiale;
Elena;Santini;0011223377;elena.santini@studio.unibo.it;bd60f30e603d4cc68183e685e358cabf6743c2bf6fe70bbb652e43088dbfacc1;Studentessa di Ingegneria biomedica;18/02/2004;Ingegneria biomedica;
Francesca;Serra;0011224422;francesca.serra@studio.unibo.it;46f41d4a23dd6ed7c8aee0a283285003b1f984734ab2dedaa26e9576dd471384;Studentessa di Psicologia clinica;03/10/2002;Psicologia clinica;
Giorgia;Pellegrini;0011224477;giorgia.pellegrini@studio.unibo.it;d8c94f000e735046810940626a6733a003109a8a8692defec064312da26fa5e9;Studentessa di Tecnologie dei sistemi informatici;11/09/2004;Tecnologie dei sistemi informatici;
Giulia;Neri;0011223355;giulia.neri@studio.unibo.it;e96354d09c7a49fc0a6e4611ff55a61ee28b684de2d8ea5749cde262209b6ec5;Studentessa di Biomedical Engineering;22/07/2004;Biomedical Engineering;
Luca;Moretti;0011223388;luca.moretti@studio.unibo.it;86ad17c30e93c60151f3c4f3ebe653a3c90c434b718a46a21d472fa51e753860;Studente di Ingegneria e scienze informatiche;09/09/2002;Ingegneria e scienze informatiche;
Marco;Fabbri;0011223344;marco.fabbri@studio.unibo.it;e67e5f5663ca3ceed1d3f33e73bb6a91a847b897e4f1e540f15d3d4948379382;Studente di Architettura, appassionato di progettazione sostenibile;14/03/2003;Architettura;
Martina;Rinaldi;0011224433;martina.rinaldi@studio.unibo.it;3c6cdbfd3d1bf324962368f23afa6a072674257eb946e12de4f56535adbb65be;Studentessa di Psicologia scolastica e di comunita';25/05/2004;Psicologia scolastica e di comunità;
Matteo;Barbieri;0011224466;matteo.barbieri@studio.unibo.it;2f82f95b92da22a7c67adc885e18607bf9e49563ba4d6780eb478f806482fca4;Studente di Tecnologie alimentari;21/03/2002;Tecnologie alimentari;
Sara;Bellini;0011223399;sara.bellini@studio.unibo.it;788eb3700b4b5b3c6c82537e21d009e1298789a06e9169570d4d9a8aa1488493;Studentessa di Ingegneria elettronica;27/04/2004;Ingegneria elettronica;
Silvia;Bianchi;0000000000;silvia@gmail.com;8ff8960b93ac3f04933e4438c95b7726645cd225e119bdc2d23aad6d1a88265a;;20/07/2002;Tecnologie dei sistemi informatici;
Simone;Galli;0011224488;simone.galli@studio.unibo.it;c440b0ee83c430f268ac340df7bfb0a46cc3e9576466a845e5dbb9d3f082c45d;Studente di Viticoltura ed enologia;29/07/2001;Viticoltura ed enologia;
Sofia;Ricci;0001456982;sofia.ricci@unibo.it;0d4790c22a71832bc2e0afff3c595181962b100f441a6e4abec54fbaa21e1ff7;;07/11/2003;Tecnologie dei sistemi informatici;
Valentina;Longo;0011224455;valentina.longo@studio.unibo.it;0f20367221ef21a83eb6e1ecb5715ce39f6a598c1186a9cabdcd6a51696361d1;Studentessa di Scienze e tecnologie alimentari;08/12/2004;Scienze e tecnologie alimentari;
